Upper Niger,Bani,Niger Delta,Sahara Dunes,Niger@Gao,Ka,Oli,Sokoto,Middle Niger,Benue (Upstream),Lower Niger
536.5,513.8,567.7,436.2,285.5,73.3,174.5,159.8,159.6,465.4,501.6
572.1,549.5,574.9,458.7,425.8,101.1,539.6,167.1,171.1,530.2,520.3
619.6,559.7,577.3,505.7,532.3,496.2,545.3,167.2,526.1,530.3,529.7
1213.6,563,602.2,508.5,539.9,514.1,550.2,168.4,545.6,532.2,532.6
1780.8,569.3,650.3,514.7,546.4,514.8,552.6,175.1,547.2,540.2,534.3
1784.2,592.9,1011.8,523.5,550.5,523.2,553.1,193.5,558.9,541.7,544.1
1938.2,611,1097.7,524.1,555.2,531,555.7,196.2,561.1,542.4,551.7
1981.9,611.8,1251.5,537.9,555.4,539.4,555.8,517.7,562,544.1,554.3
1984.5,615.9,1408.2,541.6,557.3,540.9,557.3,536.1,563.8,549.3,559.9
2001.2,636.9,1501.5,549,562,542.9,558.7,547.4,564.1,551,560.3
2013.4,717.1,1698.4,554.7,563.9,545.1,559.2,548.7,564.1,557.3,560.7
2031.7,739.9,1734.1,555.3,565.1,554.9,559.3,551.4,564.7,558,561
2035.4,756.1,1759.8,555.6,568.7,568,560.1,554.7,568.6,561.3,561.4
2042.7,763.1,1851.5,555.7,571,568.6,560.3,555.5,568.9,561.7,564.5
2045.9,773,1888.7,556,571.3,576.6,561.1,555.5,569.8,562.8,565.6
2052.4,868.5,1898.4,564.3,572.1,576.8,562.1,555.5,570.3,563,566.9
2052.7,904,1903.5,567.8,573.9,579.4,564.1,559.5,571,565,571.6
2052.9,1014.7,1916.7,569,574.8,580.2,564.7,560,571.7,565.3,572.6
2053.3,1022.5,1916.8,569.7,577.9,580.8,565.8,560.4,572,566.6,573.4
2058.1,1388.2,1928,573.8,579.5,582.8,566.2,562.9,574.3,567.1,575
2058.6,1672.7,1943,574.4,579.8,584.1,566.6,563.3,575.4,569.6,575.2
2060.8,1682.5,1963,575.5,580.9,584.5,568.4,563.6,576.8,569.7,576.2
2064.4,1702.3,1968.3,576.5,581.8,584.9,568.5,563.9,576.9,572.9,576.8
2064.7,1732,1979.7,578.4,582.7,585,568.5,565.9,577.8,573.4,577.5
2065.5,1796.4,1981.6,580.2,582.7,585.5,568.5,567.5,579.2,574.8,577.7
2066.9,1814.9,1989.6,580.9,582.9,587,569.5,568.2,582,576.9,578
2073.2,1858.1,1994,580.9,582.9,587.9,569.6,568.5,582.7,579,578.5
2076.4,1942.4,1998.7,581.2,583.2,588.9,569.6,569.4,582.8,579.8,580.6
2078.2,1963.1,2010.8,582.7,584.2,589.8,569.6,571.7,583.8,579.8,581
2078.3,1977.1,2015.7,582.7,587.2,590.4,570.2,575.3,584.2,580.6,581.3
2080.4,1980.5,2016.8,583.8,587.4,592.8,570.2,576.1,584.6,580.7,581.8
2082,1993,2019.3,584.5,587.6,592.9,570.4,578.4,589.9,582.3,583.1
2086,2006.7,2022.5,585.2,588.9,593.5,570.5,582.4,592.3,582.3,584.5
2091.2,2009.8,2030.8,585.5,588.9,593.6,570.6,582.9,592.5,582.8,584.5
2092.2,2023.5,2031.8,586.4,589.1,595.9,573,588.3,592.6,583.5,585.1
